area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"47,77 m²",listing_no_promo,46hYD,,,Obsługa zdalna Biuro Sprzedaży Inwestycji,468146,9800,2 pokoje,Mieszkanie na sprzedaż:,"Apartament 47,77m2, taras 35m2 garderoba => SOŁACZ",60604419,https://www.otodom.pl/oferta/apartament-47-77m2-taras-35m2-garderoba-solacz-ID46hYD.html#4ab8afc903
area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url
"44,70 m²",promo_top_ads,46yIE,,,Obsługa zdalna Oferta prywatna,350000,7830,2 pokoje,Mieszkanie na sprzedaż:,"Jeżyce 44,7m2",60668776,https://www.otodom.pl/oferta/jezyce-44-7m2-ID46yIE.html#1c3fa504f7
"66,46 m²",promo_top_ads,46m0b,,,Obsługa zdalna Manufaktura Mieszkań,449900,6769,3 pokoje,Mieszkanie na sprzedaż:,GOTOWE | 3-pok z ogródkiem Pileckiego | STRZESZYN,60619891,https://www.otodom.pl/oferta/gotowe-3-pok-z-ogrodkiem-pileckiego-strzeszyn-ID46m0b.html#1c3fa504f7
"45,49 m²",promo_top_ads,46tvh,,,Oferta prywatna,360000,7914,2 pokoje,Mieszkanie na sprzedaż:,"Urocze, przytulne mieszkanie na Jeżycach.",60648789,https://www.otodom.pl/oferta/urocze-przytulne-mieszkanie-na-jezycach-ID46tvh.html#1c3fa504f7
57 m²,listing_no_promo,46chO,,,Shark Nieruchomości,478000,8386,3 pokoje,Mieszkanie na sprzedaż:,"Stylowe, przepiękne M! Bez Pcc!",60582544,https://www.otodom.pl/oferta/stylowe-przepiekne-m-bez-pcc-ID46chO.html#1c3fa504f7
"57,80 m²",listing_no_promo,45EU6,,,Oferta prywatna,399000,6903,3 pokoje,Mieszkanie na sprzedaż:,REZERWACJA - 3 pokoje Ogrody/Jeżyce,60454222,https://www.otodom.pl/oferta/rezerwacja-3-pokoje-ogrody-jezyce-ID45EU6.html#1c3fa504f7
"41,05 m²",listing_no_promo,46wFy,,,Home Emperor sp. z o.o.,355000,8648,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie Podolany,60657052,https://www.otodom.pl/oferta/mieszkanie-podolany-ID46wFy.html#1c3fa504f7
"88,40 m²",listing_no_promo,46wvV,,,Express House,764000,8643,3 pokoje,Mieszkanie na sprzedaż:,*Spacer 3D *kominek *garaż* ogród* park Sołacki*,60656518,https://www.otodom.pl/oferta/spacer-3d-kominek-garaz-ogrod-park-solacki-ID46wvV.html#1c3fa504f7
23 m²,listing_no_promo,46wrv,,,SZEŚĆ ŚCIAN,345000,15000,1 pokój,Mieszkanie na sprzedaż:,Kawalerka | Winda | Wysoki Standard | Bukowska,60656182,https://www.otodom.pl/oferta/kawalerka-winda-wysoki-standard-bukowska-ID46wrv.html#1c3fa504f7
"67,86 m²",listing_no_promo,46wmt,,,RE/MAX Polska - Międzynarodowa Sieć Biur Nieruchomości,488000,7191,4 pokoje,Mieszkanie na sprzedaż:,2 Kawalerki 1 Mieszkanie Kamienica Balkon Jeżyce,60655869,https://www.otodom.pl/oferta/2-kawalerki-1-mieszkanie-kamienica-balkon-jezyce-ID46wmt.html#1c3fa504f7
"42,54 m²",listing_no_promo,45AAM,,,CONSTRUCTA PLUS,,,2 pokoje,Mieszkanie na sprzedaż:,"Winiarska 40, mieszkanie M15",60437648,https://www.otodom.pl/oferta/winiarska-40-mieszkanie-m15-ID45AAM.html#1c3fa504f7
"73,38 m²",listing_no_promo,45ABH,,,CONSTRUCTA PLUS,,,4 pokoje,Mieszkanie na sprzedaż:,"Winiarska 40, mieszkanie M1",60437705,https://www.otodom.pl/oferta/winiarska-40-mieszkanie-m1-ID45ABH.html#1c3fa504f7
48 m²,listing_no_promo,46wjQ,,,Nieruchomości Miejskie,495000,10313,2 pokoje,Mieszkanie na sprzedaż:,Jeżyce/Sołacz 2 pokoje z dużym tarasem,60655706,https://www.otodom.pl/oferta/jezyce-solacz-2-pokoje-z-duzym-tarasem-ID46wjQ.html#1c3fa504f7
"28,80 m²",listing_no_promo,46uQt,,,Nowy Dom Nieruchomości,244800,8500,1 pokój,Mieszkanie na sprzedaż:,kawalerka na Jeżycach balkon winda ul.Norwida,60653885,https://www.otodom.pl/oferta/kawalerka-na-jezycach-balkon-winda-ul-norwida-ID46uQt.html#1c3fa504f7
"76,20 m²",listing_no_promo,46h6O,,,Oferta prywatna,485000,6365,3 pokoje,Mieszkanie na sprzedaż:,"Strzeszyn bezpośrednio, możliwość dwóch poziomów!",60601082,https://www.otodom.pl/oferta/strzeszyn-bezposrednio-mozliwosc-dwoch-poziomow-ID46h6O.html#1c3fa504f7
39 m²,listing_no_promo,46uIM,,,Biuro Nieruchomości CASTLE,355000,9103,2 pokoje,Mieszkanie na sprzedaż:,"Nowe mieszkanie w sercu Jeżyc, MIEJSCE POSTOJOWE!",60653408,https://www.otodom.pl/oferta/nowe-mieszkanie-w-sercu-jezyc-miejsce-postojowe-ID46uIM.html#1c3fa504f7
60 m²,listing_no_promo,46uID,,,Obsługa zdalna Oferta prywatna,580000,9667,2 pokoje,Mieszkanie na sprzedaż:,mieszkanie na poddaszu z klimatyzacją - Jeżyce 60m,60653399,https://www.otodom.pl/oferta/mieszkanie-na-poddaszu-z-klimatyzacja-jezyce-60m-ID46uID.html#1c3fa504f7
"67,50 m²",listing_no_promo,46uCe,,,Expander Advisors,529875,7850,4 pokoje,Mieszkanie na sprzedaż:,Rodzinny apartament Piątkowo,60653002,https://www.otodom.pl/oferta/rodzinny-apartament-piatkowo-ID46uCe.html#1c3fa504f7
"77,86 m²",listing_no_promo,43NW7,,,21 Art-Bud Sp. z o.o. Sp. k.,701240,9006,3 pokoje,Mieszkanie na sprzedaż:,Poznań Drzymały lokal 3/2,60012225,https://www.otodom.pl/oferta/poznan-drzymaly-lokal-3-2-ID43NW7.html#1c3fa504f7
"65,43 m²",listing_no_promo,43NWi,,,21 Art-Bud Sp. z o.o. Sp. k.,602456,9208,3 pokoje,Mieszkanie na sprzedaż:,Poznań Drzymały lokal 1/1,60012236,https://www.otodom.pl/oferta/poznan-drzymaly-lokal-1-1-ID43NWi.html#1c3fa504f7
"104,38 m²",listing_no_promo,43JcK,,,21 Art-Bud Sp. z o.o. Sp. k.,919044,8805,4 pokoje,Mieszkanie na sprzedaż:,Poznań Drzymały lokal 1/2,59994098,https://www.otodom.pl/oferta/poznan-drzymaly-lokal-1-2-ID43JcK.html#1c3fa504f7
85 m²,listing_no_promo,46ukr,,,Exon House,545000,6412,4 pokoje,Mieszkanie na sprzedaż:,Kup jedno zyskaj dwa,60651899,https://www.otodom.pl/oferta/kup-jedno-zyskaj-dwa-ID46ukr.html#1c3fa504f7
"58,50 m²",listing_no_promo,46u9s,,,Express House,379000,6479,2 pokoje,Mieszkanie na sprzedaż:,* Niezależne Pokoje * Odnowione * W Sercu Jeżyc *,60651218,https://www.otodom.pl/oferta/niezalezne-pokoje-odnowione-w-sercu-jezyc-ID46u9s.html#1c3fa504f7
"61,83 m²",listing_no_promo,45FP9,,,Biuro Nieruchomości,329900,5336,2 pokoje,Mieszkanie na sprzedaż:,2 pokoje do remontu w samym sercu Jeżyc,60457759,https://www.otodom.pl/oferta/2-pokoje-do-remontu-w-samym-sercu-jezyc-ID45FP9.html#1c3fa504f7
22 m²,listing_no_promo,43sFl,,,Oferta prywatna,235000,10682,1 pokój,Mieszkanie na sprzedaż:,Atrakcyjna kawalerka Podolany Raczyńskiego,59930523,https://www.otodom.pl/oferta/atrakcyjna-kawalerka-podolany-raczynskiego-ID43sFl.html#1c3fa504f7
47 m²,listing_no_promo,44Axn,,,Oferta prywatna,375900,7998,2 pokoje,Mieszkanie na sprzedaż:,"BEZPOŚREDNIO - 2 Pokoje, Sołacz, z wyposażeniem",60199109,https://www.otodom.pl/oferta/bezposrednio-2-pokoje-solacz-z-wyposazeniem-ID44Axn.html#1c3fa504f7
"57,88 m²",listing_no_promo,46tAs,,,Partner Nieruchomości Agnieszka Kuzera,522000,9019,2 pokoje,Mieszkanie na sprzedaż:,Jeżyce - 2 Pokojowe - Super Lokalizacja,60649048,https://www.otodom.pl/oferta/jezyce-2-pokojowe-super-lokalizacja-ID46tAs.html#1c3fa504f7
"48,49 m²",listing_no_promo,46tAq,,,Partner Nieruchomości Agnieszka Kuzera,600000,12374,2 pokoje,Mieszkanie na sprzedaż:,Jeżyce - 2 Pokojowe W Świetnej Lokalizacji-,60649046,https://www.otodom.pl/oferta/jezyce-2-pokojowe-w-swietnej-lokalizacji-ID46tAq.html#1c3fa504f7
"45,49 m²",listing_no_promo,46tvh,,,Oferta prywatna,360000,7914,2 pokoje,Mieszkanie na sprzedaż:,"Urocze, przytulne mieszkanie na Jeżycach.",60648789,https://www.otodom.pl/oferta/urocze-przytulne-mieszkanie-na-jezycach-ID46tvh.html#1c3fa504f7
59 m²,listing_no_promo,46to1,,,Biuro Obrotu Nieruchomościami 5 Aleja Anna Popielska,355000,6017,2 pokoje,Mieszkanie na sprzedaż:,Duże 2 pokoje ul. Husarska Grunwald,60648277,https://www.otodom.pl/oferta/duze-2-pokoje-ul-husarska-grunwald-ID46to1.html#1c3fa504f7
"47,50 m²",listing_no_promo,46tce,,,Beata Zajączkowska,353000,7432,3 pokoje,Mieszkanie na sprzedaż:,"3 pokoje, Bonin, Balkon",60647546,https://www.otodom.pl/oferta/3-pokoje-bonin-balkon-ID46tce.html#1c3fa504f7
"48,50 m²",listing_no_promo,438dF,,,Oferta prywatna,600000,12371,2 pokoje,Mieszkanie na sprzedaż:,"Poznań ul.Zwierzyniecka, 48,5m umeblowane",59851927,https://www.otodom.pl/oferta/poznan-ul-zwierzyniecka-48-5m-umeblowane-ID438dF.html#1c3fa504f7
"47,58 m²",listing_no_promo,45jhO,,,Oferta prywatna,399000,8386,2 pokoje,Mieszkanie na sprzedaż:,REDUTA Nowe Podolany 2 pokoje,60371124,https://www.otodom.pl/oferta/reduta-nowe-podolany-2-pokoje-ID45jhO.html#1c3fa504f7
"30,84 m²",listing_no_promo,46sKh,,,Choiński Kroll Nieruchomości,245000,7944,1 pokój,Mieszkanie na sprzedaż:,Kawalerka z balkonem Jeżyce Rezerwacja,60645813,https://www.otodom.pl/oferta/kawalerka-z-balkonem-jezyce-rezerwacja-ID46sKh.html#1c3fa504f7
"35,73 m²",listing_no_promo,46sIV,,,Perfect House,307000,8592,1 pokój,Mieszkanie na sprzedaż:,35 metrów - I piętro- loggia - Winiary,60645730,https://www.otodom.pl/oferta/35-metrow-i-pietro-loggia-winiary-ID46sIV.html#1c3fa504f7
"47,50 m²",listing_no_promo,46eOf,,,Oferta prywatna,350000,7368,2 pokoje,Mieszkanie na sprzedaż:,Przytulne 2- pok. Bonin DO WPROWADZENIA OD ZARAZ,60592243,https://www.otodom.pl/oferta/przytulne-2-pok-bonin-do-wprowadzenia-od-zaraz-ID46eOf.html#1c3fa504f7
"57,60 m²",listing_no_promo,46ss6,,,West Home,429000,7448,3 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 57,60 m², Poznań",60644686,https://www.otodom.pl/oferta/mieszkanie-57-60-m-poznan-ID46ss6.html#1c3fa504f7
"61,83 m²",listing_no_promo,46snU,,,VanDer Haus Nieruchomości Sp. z o.o.,329900,5336,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie do remontu - Polna,60644426,https://www.otodom.pl/oferta/mieszkanie-do-remontu-polna-ID46snU.html#1c3fa504f7
51 m²,listing_no_promo,46smG,,,Platan Nieruchomości Sp. z o.o.,379000,7431,2 pokoje,Mieszkanie na sprzedaż:,Ładne mieszkanie z pięknym widokiem na Poznań!!,60644350,https://www.otodom.pl/oferta/ladne-mieszkanie-z-pieknym-widokiem-na-poznan-ID46smG.html#1c3fa504f7
"65,20 m²",listing_no_promo,46smC,,,Platan Nieruchomości Sp. z o.o.,560000,8589,3 pokoje,Mieszkanie na sprzedaż:,"Luksusowe, duże mieszkanie na Piątkowskiej!!",60644346,https://www.otodom.pl/oferta/luksusowe-duze-mieszkanie-na-piatkowskiej-ID46smC.html#1c3fa504f7
"58,50 m²",listing_no_promo,46cIq,,,Real Estate Company,379000,6479,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie dwupokojowe na Jeżycach,60584194,https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-na-jezycach-ID46cIq.html#1c3fa504f7
"47,58 m²",listing_no_promo,46cLE,,,Real Estate Company,399000,8386,2 pokoje,Mieszkanie na sprzedaż:,Mieszkanie dwupokojowe Nowe Podolany,60584394,https://www.otodom.pl/oferta/mieszkanie-dwupokojowe-nowe-podolany-ID46cLE.html#1c3fa504f7
61 m²,listing_no_promo,46ehk,,,Oferta prywatna,399000,6541,3 pokoje,Mieszkanie na sprzedaż:,Bezpośrednio! 3 pok.! Park Sołacki! Deweloperskie!,60590202,https://www.otodom.pl/oferta/bezposrednio-3-pok-park-solacki-deweloperskie-ID46ehk.html#1c3fa504f7
"65,43 m²",listing_no_promo,46s8w,,,Partner Nieruchomości Agnieszka Kuzera,601956,9200,3 pokoje,Mieszkanie na sprzedaż:,"3 Pokoje Z Tarasem, Sołacz!!!!!!",60643471,https://www.otodom.pl/oferta/3-pokoje-z-tarasem-solacz-ID46s8w.html#1c3fa504f7
"49,10 m²",listing_no_promo,46efR,,,Oferta prywatna,329000,6701,2 pokoje,Mieszkanie na sprzedaż:,Bezpośrednio! 2 pok! Park Sołacki! Deweloperskie!,60590111,https://www.otodom.pl/oferta/bezposrednio-2-pok-park-solacki-deweloperskie-ID46efR.html#1c3fa504f7
"82,23 m²",listing_no_promo,46s20,,,Rezydencja,522161,6350,5 pokoi,Mieszkanie na sprzedaż:,Jeżyce 82m2 - na 2 Kw w remontowanej kamienicy,60643068,https://www.otodom.pl/oferta/jezyce-82m2-na-2-kw-w-remontowanej-kamienicy-ID46s20.html#1c3fa504f7
"85,83 m²",listing_no_promo,46s1Z,,,Rezydencja,545021,6350,5 pokoi,Mieszkanie na sprzedaż:,"Poznańska 24, IIp. 85m2 na 2 Kw",60643067,https://www.otodom.pl/oferta/poznanska-24-iip-85m2-na-2-kw-ID46s1Z.html#1c3fa504f7
"47,77 m²",listing_no_promo,46rNe,,,Biuro Sprzedaży Inwestycji,492031,10300,2 pokoje,Mieszkanie na sprzedaż:,"Apartament 47,77m2, taras 35m2 garderoba => SOŁACZ",60642152,https://www.otodom.pl/oferta/apartament-47-77m2-taras-35m2-garderoba-solacz-ID46rNe.html#1c3fa504f7
"94,14 m²",listing_no_promo,43Jca,,,21 Art-Bud Sp. z o.o. Sp. k.,923072,9805,4 pokoje,Mieszkanie na sprzedaż:,Poznań Drzymały lokal 4/1,59994062,https://www.otodom.pl/oferta/poznan-drzymaly-lokal-4-1-ID43Jca.html#1c3fa504f7
"47,46 m²",listing_no_promo,46rEN,,,Obsługa zdalna Biuro Nieruchomości CASTLE,479000,10093,2 pokoje,Mieszkanie na sprzedaż:,"Poznańska 50, prestiżowy adres !",60641629,https://www.otodom.pl/oferta/poznanska-50-prestizowy-adres-ID46rEN.html#1c3fa504f7
190 m²,listing_no_promo,46rpF,,,Poznańskie Biuro Nieruchomości AURA,1100000,5789,4 pokoje,Mieszkanie na sprzedaż:,"Mieszkanie, 190 m², Poznań",60640691,https://www.otodom.pl/oferta/mieszkanie-190-m-poznan-ID46rpF.html#1c3fa504f7
"79,20 m²",listing_no_promo,46rp2,,,Platan Nieruchomości Sp. z o.o.,500000,6313,4 pokoje,Mieszkanie na sprzedaż:,Duże mieszkanie 4 pokojowe pod inwestycje | biuro,60640652,https://www.otodom.pl/oferta/duze-mieszkanie-4-pokojowe-pod-inwestycje-biuro-ID46rp2.html#1c3fa504f7
"60,20 m²",listing_no_promo,46rog,,,Oferta prywatna,457520,7600,3 pokoje,Mieszkanie na sprzedaż:,Przestronne mieszkanie na Strzeszynie- Literacka,60640604,https://www.otodom.pl/oferta/przestronne-mieszkanie-na-strzeszynie-literacka-ID46rog.html#1c3fa504f7
